date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_target_band,ret_cdi,variant,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,n_rebalance_sells_cum,n_concentration_trims_cum,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2020-11-12,186390.33564498246,43212.48627024912,0.0,0,10,0.15547073430671232,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,59,528,213,76,1,16,20,58,1,81,4443.505806418753
2020-11-13,190773.058089782,43215.71381084865,0.0,0,10,0.15980467735466303,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,59,529,213,76,0,16,20,58,1,81,4443.505806418753
2020-11-16,193028.4351115132,43218.941592513176,0.0,0,10,0.16167689565514476,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,59,530,213,76,0,16,20,58,1,81,4443.505806418753
2020-11-17,193316.4362640608,43222.16961526072,0.0,0,10,0.16764279558584513,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,59,531,213,76,0,16,20,58,1,81,4443.505806418753
2020-11-18,189966.46297920102,0.280264542115778,88252.5671054589,0,7,0.15046877538131345,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,1,60,531,219,77,0,16,20,58,1,81,4443.505806418753
2020-11-19,190863.34696786047,61964.84817931048,26292.626999550004,0,7,0.15315271404583644,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,60,532,219,77,1,16,20,58,1,81,4443.505806418753
2020-11-23,193239.19711194828,88264.06712968159,0.0,0,7,0.1554927605220428,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,60,533,219,77,1,16,20,58,0,81,4443.505806418753
2020-11-24,195500.17032042216,88270.6595728555,0.0,0,7,0.16067798120336785,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,60,534,219,77,1,16,20,58,0,81,4443.505806418753
2020-11-25,196892.851435219,88277.25250841898,0.0,0,7,0.16554900273118567,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,60,535,219,77,1,16,20,58,0,81,4443.505806418753
2020-11-26,200055.69275350883,88283.84593640883,0.0,0,7,0.18203471492745746,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,60,536,219,77,1,16,20,58,0,81,4443.505806418753
2020-11-27,202001.9730585285,88290.43985686182,0.0,0,7,0.1902809087357931,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,60,537,219,77,1,16,20,58,0,81,4443.505806418753
2020-11-30,206500.26429761475,88297.03426981473,0.0,0,7,0.20298756005264917,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,60,538,219,77,1,16,20,58,0,81,4443.505806418753
2020-12-01,207147.76188053767,88303.62917530433,0.0,0,7,0.20775361418009783,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,60,539,219,77,1,16,20,58,0,81,4443.505806418753
