date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross
2020-08-28,V1,LWSA3,defensive_sell,5.0,-2.0756321776777686,0.5,1013,15150.691380000002,3.7886200000000003,2020-09-01,1,,,
2020-08-28,V1,BHIA3,rebalance_sell,,,1.0,74,29918.1186,7.4814,2020-09-01,1,,,
2020-08-28,V1,GOAU4,rebalance_sell,,,1.0,1,6.705023325,0.0016766749999999999,2020-09-01,1,,,
2020-08-28,V1,JHSF3,rebalance_sell,,,1.0,3179,23900.10348,5.97652,2020-09-01,1,,,
2020-08-28,V1,MNPR3,rebalance_sell,,,1.0,2,1.1317169999999999,0.000283,2020-09-01,1,,,
2020-08-28,V1,INBR32,concentration_trim,,,,36,1553.6126997,0.38850029999999997,2020-09-01,1,0.15827364109507414,0.2,1590.8383437338234
2020-09-04,V1,BPAC11,rebalance_sell,,,1.0,1,19.87003125,0.00496875,2020-09-09,1,,,
2020-09-04,V1,BPAC3,rebalance_sell,,,1.0,2303,27329.775847499997,6.8341525,2020-09-09,1,,,
2020-09-04,V1,EVEN3,rebalance_sell,,,1.0,1983,25039.028677500002,6.2613225,2020-09-09,1,,,
2020-09-04,V1,JHSF3,rebalance_sell,,,1.0,1,7.1082225,0.0017775000000000002,2020-09-09,1,,,
2020-09-04,V1,T2TD34,rebalance_sell,,,1.0,1,2.331387855288,0.0005829927119999999,2020-09-08,1,,,
2020-09-09,V1,TSLA34,defensive_sell,6.0,-3.9082742308278817,1.0,1221,24695.704358052997,6.1754699570025,2020-09-10,0,,,
2020-09-14,V1,BPAC3,rebalance_sell,,,1.0,1,11.249686875,0.002813125,2020-09-16,1,,,
2020-09-14,V1,EVEN3,rebalance_sell,,,1.0,1,12.8067975,0.0032025,2020-09-16,1,,,
2020-09-14,V1,NVDC34,rebalance_sell,,,1.0,16849,23934.360422446123,5.985086377205833,2020-09-15,1,,,
2020-09-14,V1,ORLY34,rebalance_sell,,,1.0,1,0.544653836298,0.0001361975084516129,2020-09-15,1,,,
2020-09-21,V1,INBR32,rebalance_sell,,,1.0,689,23603.853860925,5.902439075000001,2020-09-23,1,,,
2020-09-21,V1,KLBN3,rebalance_sell,,,1.0,1,5.05813515,0.00126485,2020-09-23,1,,,
2020-09-21,V1,NVDC34,rebalance_sell,,,1.0,1,1.41931552405625,0.0003549176104166667,2020-09-22,1,,,
2020-09-21,V1,USIM5,rebalance_sell,,,1.0,2551,27798.948525,6.951475,2020-09-23,1,,,
2020-09-21,V1,FDXB34,concentration_trim,,,,2,2598.75126972,0.64985028,2020-09-22,1,0.16459162539964953,0.2,2650.129398231991
2020-09-21,V1,UPSS34,concentration_trim,,,,24,1314.88715601,0.32880399,2020-09-22,1,0.1575050480640848,0.2,1363.0611257739947
2020-09-28,V1,FCXO34,rebalance_sell,,,1.0,741,21931.628061915,5.484278085,2020-09-29,1,,,
2020-09-28,V1,INBR32,rebalance_sell,,,1.0,3,108.21294,0.02706,2020-09-30,1,,,
2020-09-28,V1,KLBN3,rebalance_sell,,,1.0,1,4.99875,0.00125,2020-09-30,1,,,
2020-09-28,V1,LWSA3,rebalance_sell,,,1.0,1811,25967.773933125,6.493566875,2020-09-30,1,,,
2020-09-28,V1,FDXB34,concentration_trim,,,,1,1420.8956392619998,0.35531273799999996,2020-09-29,1,0.16068612772618163,0.2,1984.8698689665835
2020-09-28,V1,UPSS34,concentration_trim,,,,25,1473.7589993671877,0.36853188281250004,2020-09-29,1,0.15809332875628157,0.2,1503.2735963772866
2020-10-05,V1,BOBR3,rebalance_sell,,,1.0,1,0.99975,0.00025,2020-10-07,1,,,
2020-10-05,V1,FCXO34,rebalance_sell,,,1.0,1,30.618999336,0.0076566640000000005,2020-10-06,1,,,
2020-10-05,V1,LWSA3,rebalance_sell,,,1.0,4,61.544610000000006,0.015390000000000001,2020-10-07,1,,,
2020-10-05,V1,NVDC34,rebalance_sell,,,1.0,1,1.5997231098398437,0.00040003078515624997,2020-10-06,1,,,
2020-10-05,V1,TSLA34,rebalance_sell,,,1.0,941,23485.165658503916,5.87275960452711,2020-10-06,1,,,
2020-10-05,V1,USIM5,rebalance_sell,,,1.0,2,21.134715,0.005285000000000001,2020-10-07,1,,,
2020-10-05,V1,DEEC34,concentration_trim,,,,11,468.39564327380003,0.11712819286666669,2020-10-06,1,0.15269992402598442,0.2,507.5763379239579
2020-10-13,V1,CSNA3,rebalance_sell,,,1.0,1,18.3054225,0.0045775,2020-10-15,1,,,
