arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,holding_days,top_n,n_bloqueados,gate_activation_rate,tickers_baseline,tickers_arm,tickers_bloqueados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm,churn_evitado,churn_evitado_rate,n_reentrants_baseline,arm_catches_reentry,recidiva_avoidance_rate
Baseline,2,2024-08-02,2024-08-01,2024-08-13,2024-08-12,HOLDOUT,7,10,3,0.3,AMBP3;I1RM34;MNDL3;VRTX34;CHCM34;F2IC34;T1OW34;AURA33;JBSS32;AHEB3,MNDL3;CHCM34;F2IC34;T1OW34;AURA33;JBSS32;AHEB3;REGN34;TKNO4;P1LD34,AMBP3;I1RM34;VRTX34,P1LD34;REGN34;TKNO4,0.022152670713291994,-0.04592820487454034,-0.04607820487454034,0.00015000000000000001,0,0.0,0,0,
Baseline,2,2024-08-13,2024-08-12,2024-08-22,2024-08-21,HOLDOUT,7,10,1,0.1,AMBP3;MNDL3;F2IC34;I1RM34;TKNO4;P2LT34;MWET4;R1EG34;TJXC34;T1MU34,AMBP3;MNDL3;F2IC34;I1RM34;TKNO4;P2LT34;MWET4;TJXC34;T1MU34;CHCM34,R1EG34,CHCM34,-0.02049259519588254,-0.022843432180360404,-0.022893432180360405,5e-05,0,0.0,2,0,0.0
Baseline,2,2024-08-22,2024-08-21,2024-09-02,2024-08-30,HOLDOUT,7,10,0,0.0,AMBP3;MNDL3;P2LT34;I1RM34;F2IC34;WEGE3;SBFG3;ABBV34;REGN34;I1CE34,AMBP3;MNDL3;P2LT34;I1RM34;F2IC34;WEGE3;SBFG3;ABBV34;REGN34;I1CE34,,,-0.0009236931763993969,-0.0009236931763993969,-0.0009236931763993969,0.0,0,0.0,0,0,
Baseline,2,2024-09-02,2024-08-30,2024-09-11,2024-09-10,HOLDOUT,7,10,0,0.0,AMBP3;I1RM34;WEGE3;PATI3;F2IC34;NGRD3;SBFG3;VLID3;D1HI34;N1EM34,AMBP3;I1RM34;WEGE3;PATI3;F2IC34;NGRD3;SBFG3;VLID3;D1HI34;N1EM34,,,-0.06548656554894772,-0.06548656554894772,-0.06548656554894772,0.0,0,0.0,0,0,
Baseline,2,2024-09-11,2024-09-10,2024-09-20,2024-09-19,HOLDOUT,7,10,1,0.1,AMBP3;RCSL3;V1TA34;VLID3;SBFG3;P2LT34;I1RM34;VIVA3;P1SA34;MDNE3,AMBP3;RCSL3;VLID3;SBFG3;P2LT34;I1RM34;VIVA3;P1SA34;MDNE3;F2IC34,V1TA34,F2IC34,-0.022572562262032192,-0.00865549355840341,-0.00870549355840341,5e-05,1,1.0,0,0,
Baseline,2,2024-09-20,2024-09-19,2024-10-01,2024-09-30,HOLDOUT,7,10,0,0.0,AMBP3;VLID3;RCSL3;LREN3;SBFG3;P2LT34;VIVA3;I1RM34;LIGT3;F2IC34,AMBP3;VLID3;RCSL3;LREN3;SBFG3;P2LT34;VIVA3;I1RM34;LIGT3;F2IC34,,,0.020830663363003606,0.020830663363003606,0.020830663363003606,0.0,0,0.0,1,0,0.0
Baseline,2,2024-10-01,2024-09-30,2024-10-10,2024-10-09,HOLDOUT,7,10,0,0.0,AMBP3;VLID3;D1HI34;BMYB34;LREN3;M1KT34;F2IC34;P2LT34;BOXP34;G1LL34,AMBP3;VLID3;D1HI34;BMYB34;LREN3;M1KT34;F2IC34;P2LT34;BOXP34;G1LL34,,,0.025938581404675594,0.025938581404675594,0.025938581404675594,0.0,0,0.0,0,0,
Baseline,2,2024-10-10,2024-10-09,2024-10-21,2024-10-18,HOLDOUT,7,10,2,0.2,NGRD3;AMBP3;A2XO34;P2LT34;BCHQ39;D2AS34;VLID3;LMTB34;M1KT34;PYPL34,AMBP3;A2XO34;P2LT34;D2AS34;VLID3;LMTB34;M1KT34;PYPL34;F2IC34;U1AL34,BCHQ39;NGRD3,F2IC34;U1AL34,0.004241202922864726,0.04889815728070252,0.04879815728070252,0.0001,0,0.0,1,1,1.0
Baseline,2,2024-10-21,2024-10-18,2024-10-30,2024-10-29,HOLDOUT,7,10,3,0.3,NGRD3;AMBP3;RCSL4;U1AL34;TPIS3;D2AS34;P2LT34;PYPL34;LREN3;BOBR4,NGRD3;AMBP3;TPIS3;D2AS34;P2LT34;PYPL34;LREN3;POMO4;MNPR3;BMGB4,BOBR4;RCSL4;U1AL34,BMGB4;MNPR3;POMO4,-0.006189014910439557,-0.03314559317718284,-0.033295593177182836,0.00015000000000000001,0,0.0,1,0,0.0
Baseline,2,2024-10-30,2024-10-29,2024-11-08,2024-11-07,HOLDOUT,7,10,0,0.0,NGRD3;U1AL34;RCSL4;P2LT34;TPIS3;T2TD34;D2AS34;U1HS34;AMBP3;DEAI34,NGRD3;U1AL34;RCSL4;P2LT34;TPIS3;T2TD34;D2AS34;U1HS34;AMBP3;DEAI34,,,0.05301581885402549,0.05301581885402549,0.05301581885402549,0.0,0,0.0,2,0,0.0
