date,label,adtv_threshold,pct_threshold,n_universe
2019-08-09,V0_BASELINE,0.0,0.0,601
2019-08-12,V0_BASELINE,0.0,0.0,601
2019-08-13,V0_BASELINE,0.0,0.0,601
2019-08-14,V0_BASELINE,0.0,0.0,601
2019-08-15,V0_BASELINE,0.0,0.0,601
2019-08-16,V0_BASELINE,0.0,0.0,601
2019-08-19,V0_BASELINE,0.0,0.0,601
2019-08-20,V0_BASELINE,0.0,0.0,601
2019-08-21,V0_BASELINE,0.0,0.0,601
2019-08-22,V0_BASELINE,0.0,0.0,602
2019-08-23,V0_BASELINE,0.0,0.0,602
2019-08-26,V0_BASELINE,0.0,0.0,602
2019-08-27,V0_BASELINE,0.0,0.0,602
2019-08-28,V0_BASELINE,0.0,0.0,602
2019-08-29,V0_BASELINE,0.0,0.0,602
2019-08-30,V0_BASELINE,0.0,0.0,602
2019-09-02,V0_BASELINE,0.0,0.0,602
2019-09-03,V0_BASELINE,0.0,0.0,602
2019-09-04,V0_BASELINE,0.0,0.0,602
2019-09-05,V0_BASELINE,0.0,0.0,602
2019-09-06,V0_BASELINE,0.0,0.0,602
2019-09-09,V0_BASELINE,0.0,0.0,602
2019-09-10,V0_BASELINE,0.0,0.0,603
2019-09-11,V0_BASELINE,0.0,0.0,603
2019-09-12,V0_BASELINE,0.0,0.0,603
2019-09-13,V0_BASELINE,0.0,0.0,603
2019-09-16,V0_BASELINE,0.0,0.0,603
2019-09-17,V0_BASELINE,0.0,0.0,603
2019-09-18,V0_BASELINE,0.0,0.0,603
2019-09-19,V0_BASELINE,0.0,0.0,603
2019-09-20,V0_BASELINE,0.0,0.0,603
2019-09-23,V0_BASELINE,0.0,0.0,603
2019-09-24,V0_BASELINE,0.0,0.0,603
2019-09-25,V0_BASELINE,0.0,0.0,603
2019-09-26,V0_BASELINE,0.0,0.0,604
2019-09-27,V0_BASELINE,0.0,0.0,604
2019-09-30,V0_BASELINE,0.0,0.0,604
2019-10-01,V0_BASELINE,0.0,0.0,604
2019-10-02,V0_BASELINE,0.0,0.0,604
2019-10-03,V0_BASELINE,0.0,0.0,604
2019-10-04,V0_BASELINE,0.0,0.0,604
2019-10-07,V0_BASELINE,0.0,0.0,604
2019-10-08,V0_BASELINE,0.0,0.0,604
2019-10-09,V0_BASELINE,0.0,0.0,604
2019-10-10,V0_BASELINE,0.0,0.0,604
2019-10-11,V0_BASELINE,0.0,0.0,604
2019-10-14,V0_BASELINE,0.0,0.0,604
2019-10-15,V0_BASELINE,0.0,0.0,604
2019-10-16,V0_BASELINE,0.0,0.0,604
2019-10-17,V0_BASELINE,0.0,0.0,605
2019-10-18,V0_BASELINE,0.0,0.0,605
2019-10-21,V0_BASELINE,0.0,0.0,605
2019-10-22,V0_BASELINE,0.0,0.0,605
2019-10-23,V0_BASELINE,0.0,0.0,605
2019-10-24,V0_BASELINE,0.0,0.0,605
2019-10-25,V0_BASELINE,0.0,0.0,605
2019-10-28,V0_BASELINE,0.0,0.0,605
2019-10-29,V0_BASELINE,0.0,0.0,605
2019-10-30,V0_BASELINE,0.0,0.0,605
2019-10-31,V0_BASELINE,0.0,0.0,605
2019-11-01,V0_BASELINE,0.0,0.0,605
2019-11-04,V0_BASELINE,0.0,0.0,605
2019-11-05,V0_BASELINE,0.0,0.0,605
2019-11-06,V0_BASELINE,0.0,0.0,605
2019-11-07,V0_BASELINE,0.0,0.0,605
2019-11-08,V0_BASELINE,0.0,0.0,605
2019-11-11,V0_BASELINE,0.0,0.0,605
2019-11-12,V0_BASELINE,0.0,0.0,605
2019-11-13,V0_BASELINE,0.0,0.0,605
2019-11-14,V0_BASELINE,0.0,0.0,605
2019-11-18,V0_BASELINE,0.0,0.0,605
2019-11-19,V0_BASELINE,0.0,0.0,605
2019-11-21,V0_BASELINE,0.0,0.0,605
2019-11-22,V0_BASELINE,0.0,0.0,605
2019-11-25,V0_BASELINE,0.0,0.0,605
2019-11-26,V0_BASELINE,0.0,0.0,605
2019-11-27,V0_BASELINE,0.0,0.0,605
2019-11-28,V0_BASELINE,0.0,0.0,605
2019-11-29,V0_BASELINE,0.0,0.0,605
2019-12-02,V0_BASELINE,0.0,0.0,605
2019-12-03,V0_BASELINE,0.0,0.0,605
2019-12-04,V0_BASELINE,0.0,0.0,605
2019-12-05,V0_BASELINE,0.0,0.0,605
2019-12-06,V0_BASELINE,0.0,0.0,605
2019-12-09,V0_BASELINE,0.0,0.0,605
2019-12-10,V0_BASELINE,0.0,0.0,605
2019-12-11,V0_BASELINE,0.0,0.0,605
2019-12-12,V0_BASELINE,0.0,0.0,605
2019-12-13,V0_BASELINE,0.0,0.0,605
2019-12-16,V0_BASELINE,0.0,0.0,605
2019-12-17,V0_BASELINE,0.0,0.0,605
2019-12-18,V0_BASELINE,0.0,0.0,606
2019-12-19,V0_BASELINE,0.0,0.0,606
2019-12-20,V0_BASELINE,0.0,0.0,606
2019-12-23,V0_BASELINE,0.0,0.0,606
2019-12-26,V0_BASELINE,0.0,0.0,606
2019-12-27,V0_BASELINE,0.0,0.0,606
2019-12-30,V0_BASELINE,0.0,0.0,606
2020-01-02,V0_BASELINE,0.0,0.0,606
2020-01-03,V0_BASELINE,0.0,0.0,606
2020-01-06,V0_BASELINE,0.0,0.0,606
2020-01-07,V0_BASELINE,0.0,0.0,606
2020-01-08,V0_BASELINE,0.0,0.0,606
2020-01-09,V0_BASELINE,0.0,0.0,606
2020-01-10,V0_BASELINE,0.0,0.0,606
2020-01-13,V0_BASELINE,0.0,0.0,606
2020-01-14,V0_BASELINE,0.0,0.0,607
2020-01-15,V0_BASELINE,0.0,0.0,607
2020-01-16,V0_BASELINE,0.0,0.0,607
2020-01-17,V0_BASELINE,0.0,0.0,607
2020-01-20,V0_BASELINE,0.0,0.0,607
2020-01-21,V0_BASELINE,0.0,0.0,607
2020-01-22,V0_BASELINE,0.0,0.0,607
2020-01-23,V0_BASELINE,0.0,0.0,607
2020-01-24,V0_BASELINE,0.0,0.0,607
2020-01-27,V0_BASELINE,0.0,0.0,607
2020-01-28,V0_BASELINE,0.0,0.0,607
2020-01-29,V0_BASELINE,0.0,0.0,607
2020-01-30,V0_BASELINE,0.0,0.0,608
2020-01-31,V0_BASELINE,0.0,0.0,608
2020-02-03,V0_BASELINE,0.0,0.0,608
2020-02-04,V0_BASELINE,0.0,0.0,608
2020-02-05,V0_BASELINE,0.0,0.0,608
2020-02-06,V0_BASELINE,0.0,0.0,608
2020-02-07,V0_BASELINE,0.0,0.0,608
2020-02-10,V0_BASELINE,0.0,0.0,608
2020-02-11,V0_BASELINE,0.0,0.0,608
2020-02-12,V0_BASELINE,0.0,0.0,608
2020-02-13,V0_BASELINE,0.0,0.0,608
2020-02-14,V0_BASELINE,0.0,0.0,610
2020-02-17,V0_BASELINE,0.0,0.0,610
2020-02-18,V0_BASELINE,0.0,0.0,610
2020-02-19,V0_BASELINE,0.0,0.0,610
2020-02-20,V0_BASELINE,0.0,0.0,610
2020-02-21,V0_BASELINE,0.0,0.0,610
2020-02-26,V0_BASELINE,0.0,0.0,610
2020-02-27,V0_BASELINE,0.0,0.0,610
2020-02-28,V0_BASELINE,0.0,0.0,610
2020-03-02,V0_BASELINE,0.0,0.0,610
2020-03-03,V0_BASELINE,0.0,0.0,610
2020-03-04,V0_BASELINE,0.0,0.0,611
2020-03-05,V0_BASELINE,0.0,0.0,611
2020-03-06,V0_BASELINE,0.0,0.0,611
2020-03-09,V0_BASELINE,0.0,0.0,611
2020-03-10,V0_BASELINE,0.0,0.0,611
2020-03-11,V0_BASELINE,0.0,0.0,611
2020-03-12,V0_BASELINE,0.0,0.0,611
2020-03-13,V0_BASELINE,0.0,0.0,611
2020-03-16,V0_BASELINE,0.0,0.0,611
2020-03-17,V0_BASELINE,0.0,0.0,611
2020-03-18,V0_BASELINE,0.0,0.0,611
2020-03-19,V0_BASELINE,0.0,0.0,611
2020-03-20,V0_BASELINE,0.0,0.0,611
2020-03-23,V0_BASELINE,0.0,0.0,612
2020-03-24,V0_BASELINE,0.0,0.0,612
2020-03-25,V0_BASELINE,0.0,0.0,612
2020-03-26,V0_BASELINE,0.0,0.0,613
2020-03-27,V0_BASELINE,0.0,0.0,613
2020-03-30,V0_BASELINE,0.0,0.0,613
2020-03-31,V0_BASELINE,0.0,0.0,613
2020-04-01,V0_BASELINE,0.0,0.0,613
2020-04-02,V0_BASELINE,0.0,0.0,613
2020-04-03,V0_BASELINE,0.0,0.0,613
2020-04-06,V0_BASELINE,0.0,0.0,613
2020-04-07,V0_BASELINE,0.0,0.0,613
2020-04-08,V0_BASELINE,0.0,0.0,613
2020-04-09,V0_BASELINE,0.0,0.0,613
2020-04-13,V0_BASELINE,0.0,0.0,613
2020-04-14,V0_BASELINE,0.0,0.0,614
2020-04-15,V0_BASELINE,0.0,0.0,614
2020-04-16,V0_BASELINE,0.0,0.0,614
2020-04-17,V0_BASELINE,0.0,0.0,614
2020-04-20,V0_BASELINE,0.0,0.0,614
2020-04-22,V0_BASELINE,0.0,0.0,614
2020-04-23,V0_BASELINE,0.0,0.0,614
2020-04-24,V0_BASELINE,0.0,0.0,614
2020-04-27,V0_BASELINE,0.0,0.0,615
2020-04-28,V0_BASELINE,0.0,0.0,615
2020-04-29,V0_BASELINE,0.0,0.0,615
2020-04-30,V0_BASELINE,0.0,0.0,615
2020-05-04,V0_BASELINE,0.0,0.0,615
2020-05-05,V0_BASELINE,0.0,0.0,615
2020-05-06,V0_BASELINE,0.0,0.0,615
2020-05-07,V0_BASELINE,0.0,0.0,615
2020-05-08,V0_BASELINE,0.0,0.0,616
2020-05-11,V0_BASELINE,0.0,0.0,617
2020-05-12,V0_BASELINE,0.0,0.0,617
2020-05-13,V0_BASELINE,0.0,0.0,617
2020-05-14,V0_BASELINE,0.0,0.0,617
2020-05-15,V0_BASELINE,0.0,0.0,617
2020-05-18,V0_BASELINE,0.0,0.0,618
2020-05-19,V0_BASELINE,0.0,0.0,618
2020-05-20,V0_BASELINE,0.0,0.0,619
2020-05-21,V0_BASELINE,0.0,0.0,619
2020-05-22,V0_BASELINE,0.0,0.0,619
2020-05-25,V0_BASELINE,0.0,0.0,619
2020-05-26,V0_BASELINE,0.0,0.0,619
2020-05-27,V0_BASELINE,0.0,0.0,619
2020-05-28,V0_BASELINE,0.0,0.0,619
2020-05-29,V0_BASELINE,0.0,0.0,619
