date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross,phase_offset,cadence
2019-05-10,C08_P1,P1YC34,rebalance_sell,,,1.0,4,109.9413000686,0.027492198066666668,2019-05-13,1,,,,1,8
2019-05-10,C08_P1,T1DG34,rebalance_sell,,,1.0,282,10574.854754337723,2.644374782280001,2019-05-13,1,,,,1,8
2019-05-10,C08_P1,E2NP34,concentration_trim,,,,2411,5349.959228376841,1.3378242631600001,2019-05-13,1,0.19496030533801428,0.2,5352.442528487543,1,8
2019-05-14,C08_P1,M1SC34,defensive_sell,6.0,-3.1300403547242728,1.0,709,14129.522428077,3.5332639230000003,2019-05-15,0,,,,1,8
2019-05-14,C08_P1,C1DN34,defensive_sell,6.0,-2.703814303895265,1.0,129,17469.7452055665,4.3685284335,2019-05-15,0,,,,1,8
2019-05-21,C08_P1,C1DN34,defensive_sell,6.0,-4.167278351881131,1.0,1,133.31333833125,0.03333666875,2019-05-22,0,,,,1,8
2019-05-21,C08_P1,QCOM34,defensive_sell,5.0,-1.8281858198230108,0.5,314,8300.548802218751,2.0756561145833334,2019-05-22,0,,,,1,8
2019-05-22,C08_P1,BPAC3,rebalance_sell,,,1.0,3174,16270.616328750002,4.06867125,2019-05-24,1,,,,1,8
2019-05-22,C08_P1,D1EL34,rebalance_sell,,,1.0,128,18003.27583219584,4.50194444416,2019-05-23,1,,,,1,8
2019-05-22,C08_P1,T1DG34,rebalance_sell,,,1.0,1,36.967528846739995,0.00924419326,2019-05-23,1,,,,1,8
2019-05-22,C08_P1,E2NP34,concentration_trim,,,,848,2076.3011776243206,0.5192050956800002,2019-05-23,1,0.16767674289561824,0.2,2077.363656885609,1,8
2019-05-23,C08_P1,QCOM34,defensive_sell,6.0,-3.4198396602162773,1.0,468,10782.431500054503,2.696281945500001,2019-05-24,0,,,,1,8
2019-05-30,C08_P1,TSNF34,defensive_sell,6.0,-4.110770319642215,1.0,53,16150.959090539998,4.03874946,2019-05-31,0,,,,1,8
2019-06-03,C08_P1,C1GP34,rebalance_sell,,,1.0,1,1.9481807190285,0.00048716697150000005,2019-06-04,1,,,,1,8
