date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_target_band,ret_cdi,variant,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,n_rebalance_sells_cum,n_concentration_trims_cum,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum,phase_offset,cadence
2020-04-22,153861.67343862294,0.2865351731774878,26170.849820506737,0,10,0.15081720614625133,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,1,64,382,179,84,1,24,21,56,0,89,4742.135170949458,4,7
2020-04-23,152886.208885966,26173.459874121032,1.39965,0,10,0.15515060648418225,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,64,383,179,84,1,24,21,56,0,89,4742.135170949458,4,7
2020-04-24,159578.97447716552,26178.583421385527,0.0,0,10,0.1549112480218208,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,64,384,179,84,1,24,21,56,0,89,4742.135170949458,4,7
2020-04-27,156702.8573256769,26182.307848448887,0.0,0,10,0.1550964019851194,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,64,385,179,84,1,25,21,56,0,89,4742.135170949458,4,7
2020-04-28,152161.68325126448,26186.032805386487,0.0,0,10,0.15369945225658938,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,64,386,179,84,1,25,21,56,0,89,4742.135170949458,4,7
2020-04-29,150481.9337811167,26189.75829227371,0.0,0,10,0.15897519536662133,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,64,387,179,84,1,25,21,56,0,89,4742.135170949458,4,7
2020-04-30,152272.95701118594,26193.48430918595,0.0,0,10,0.160034406951261,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,64,388,179,84,1,25,21,56,0,89,4742.135170949458,4,7
2020-05-04,156166.8932332079,0.5845172650405623,1141.076114816205,0,10,0.15107290329947592,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,1,65,388,181,87,1,25,21,56,0,89,4742.135170949458,4,7
2020-05-05,155356.87120580947,1136.1736650148282,5.6485875,0,10,0.15826213547577705,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,65,389,181,87,0,25,21,56,0,89,4742.135170949458,4,7
2020-05-06,157771.6255923707,1141.9846995666935,0.0,0,10,0.15376399240937472,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,65,390,181,87,0,25,21,56,0,89,4742.135170949458,4,7
2020-05-07,165025.47958622337,1142.1142577308592,0.0,0,10,0.15745517343534626,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,65,391,181,87,0,25,21,56,0,89,4742.135170949458,4,7
2020-05-08,166117.64221224588,1142.2438305933988,0.0,0,10,0.17211549304299176,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,65,392,181,87,0,25,21,56,0,89,4742.135170949458,4,7
2020-05-11,173912.095154348,1142.3734181559796,0.0,0,10,0.18659723542056747,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,65,393,181,87,0,25,21,56,0,89,4742.135170949458,4,7
2020-05-12,167835.7512119468,1142.5030204202694,0.0,0,10,0.17948424534686233,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,65,394,181,87,0,25,21,56,0,89,4742.135170949458,4,7
2020-05-13,174343.3926569981,0.013947121390986014,55268.857007756706,0,8,0.15109193529017081,1,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,1,66,394,184,88,0,25,21,56,0,89,4742.135170949458,4,7
2020-05-14,173943.4159211047,55271.14175460137,3.999,0,8,0.15068500178254332,1,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,66,395,184,88,0,25,21,56,0,89,4742.135170949458,4,7
2020-05-15,173335.08686837996,55281.41171931998,0.0,0,8,0.15234299151476116,1,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,66,396,184,88,0,25,21,56,0,89,4742.135170949458,4,7
2020-05-18,175770.68132360454,55287.68339547953,0.0,0,8,0.17757227636011041,1,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,66,397,184,88,0,25,21,56,0,89,4742.135170949458,4,7
