date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,target_pct,hard_max_pct,offensive_sell_enabled,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,off_sell_25_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2024-11-27,488917.0211724327,1527.5844824328053,1329.3075900000001,0,10,0.15027327096081602,0,0.00041957,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
2024-11-28,484819.079083209,13.837288208938581,2838.5101950000003,0,10,0.1503641319930158,0,0.00041957,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
2024-11-29,490782.9019294264,0.3808294265285371,877.7805,0,10,0.15164189646260723,0,0.00041957,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
2024-12-02,506823.1076238525,3.324858852497864,958.7002650000001,0,9,0.15496262664150035,0,0.00041957,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
2024-12-03,502094.81683995185,6.070899951723731,639.6800400000001,0,9,0.159405250394195,0,0.00041957,V2,15,0.15,0.2,1,0,44,38,97,125,0,161,10819.046623898823
2024-12-04,504717.59293334116,1.0135208413188248,2584.9036125,0,9,0.15461771313825914,0,0.00041957,V2,15,0.15,0.2,1,0,44,38,97,125,0,161,10819.046623898823
2024-12-05,511625.7290067929,2587.002106592955,507428.7103002,1,7,0.0011284029853634177,0,0.00041957,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
2024-12-06,511813.8836210759,387047.1788971259,124766.70472395,1,0,0.0,0,0.00041957,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
2024-12-09,512028.535008956,511813.163865206,215.37114375000002,1,0,0.0,0,0.00041957,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
2024-12-10,512243.3668213897,512243.3668213897,0.0,1,0,0.0,0,0.00041957,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
2024-12-11,512458.288770807,512458.288770807,0.0,1,0,0.0,0,0.00041957,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
2024-12-12,512691.5239117752,512691.5239117752,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
2024-12-13,512924.8652050532,512924.8652050532,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
2024-12-16,512796.6680076114,2.7940076113896732,0.0,0,9,0.15000210570568348,0,0.00045513,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
2024-12-17,504415.45964924805,2.795279248073845,22.51437,0,8,0.15549087265195782,1,0.00045513,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
2024-12-18,492245.76957262814,0.07337512810364825,854.9961975,0,8,0.15217804728933804,1,0.00045513,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
2024-12-19,493338.0717954427,855.4587404426939,491864.783055,1,3,0.0007728371715007015,0,0.00045513,V2,15,0.15,0.2,1,1,44,38,98,125,1,162,10819.046623898823
2024-12-20,493529.335328853,418198.912643853,75330.42268500003,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,1,44,38,98,125,1,162,10819.046623898823
2024-12-23,493753.9432909619,493727.4799084619,26.463382499999998,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,1,44,38,98,125,1,162,10819.046623898823
2024-12-26,493978.6655231719,493978.6655231719,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2024-12-27,494203.4900332114,494203.4900332114,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2024-12-30,494428.4168676302,494428.4168676302,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-02,494653.44607299916,494653.44607299916,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-03,494878.57769591035,494878.57769591035,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-06,495103.8117829771,495103.8117829771,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-07,495329.14838083385,495329.14838083385,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-08,495554.5875361364,495554.5875361364,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-09,495780.1292955617,495780.1292955617,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-10,496005.773705808,496005.773705808,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-13,496231.5208135947,496231.5208135947,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-14,496457.3706656626,496457.3706656626,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-15,496683.32330877363,496683.32330877363,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-16,496909.37878971116,496909.37878971116,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-17,497135.5371552797,497135.5371552797,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-20,497361.7984523052,497361.7984523052,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-21,497588.1627276348,497588.1627276348,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-22,497814.630028137,497814.630028137,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-23,498041.2004007017,498041.2004007017,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-24,498267.87389224005,498267.87389224005,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-27,498494.6505496846,498494.6505496846,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-28,498721.53041998926,498721.53041998926,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-29,498948.5135501293,498948.5135501293,0.0,1,0,0.0,0,0.00045513,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-30,499193.18293271895,499193.18293271895,0.0,1,0,0.0,0,0.00049037,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-01-31,499437.9722938337,499437.9722938337,0.0,1,0,0.0,0,0.00049037,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-02-03,499682.8816923074,499682.8816923074,0.0,1,0,0.0,0,0.00049037,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-02-04,499927.9111870029,499927.9111870029,0.0,1,0,0.0,0,0.00049037,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
2025-02-05,500173.0608368117,500173.0608368117,0.0,1,0,0.0,0,0.00049037,V2,15,0.15,0.2,1,0,44,38,98,125,1,162,10819.046623898823
