date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,i_above_ucl,xbar_above_ucl
2024-02-23,V3,TPRY34,rebalance_sell,,,1.0,1,241.96609834875,0.06050665125,2024-02-26,,
2024-03-12,V3,NVDC34,concentration_sell,,,,522,4993.7692455,1.2487545,2024-03-13,,
2024-03-13,V3,L1RC34,concentration_sell,,,,5,524.86875,0.13125,2024-03-14,,
2024-03-14,V3,AMER3,concentration_sell,,,,17,917.7705,0.2295,2024-03-18,,
2024-03-14,V3,FASL34,concentration_sell,,,,6,2165.518485,0.541515,2024-03-15,,
2024-03-14,V3,L1RC34,concentration_sell,,,,17,1782.8541750000002,0.4458250000000001,2024-03-15,,
2024-03-15,V3,FASL34,concentration_sell,,,,1,360.91974749999997,0.0902525,2024-03-18,,
2024-03-15,V3,JFEN3,concentration_sell,,,,44,1478.0304,0.36960000000000004,2024-03-19,,
2024-03-18,V3,C2OI34,rebalance_sell,,,1.0,1361,65366.094390000006,16.34561,2024-03-19,,
2024-03-18,V3,FASL34,concentration_sell,,,,9,3426.9730425,0.8569575,2024-03-19,,
2024-03-18,V3,JFEN3,concentration_sell,,,,2,67.58309999999999,0.0169,2024-03-20,,
2024-03-19,V3,L1RC34,concentration_sell,,,,3,317.7105525,0.0794475,2024-03-20,,
2024-03-19,V3,NVDC34,concentration_sell,,,,20,186.23343,0.04657,2024-03-20,,
2024-03-20,V3,OIBR4,concentration_sell,,,,204,3875.031,0.969,2024-03-22,,
2024-03-21,V3,AMER3,concentration_sell,,,,83,4646.838,1.162,2024-03-25,,
2024-03-21,V3,NVDC34,concentration_sell,,,,53,500.88374774999994,0.12525224999999998,2024-03-22,,
2024-03-22,V3,FASL34,concentration_sell,,,,2,779.805,0.195,2024-03-25,,
2024-03-22,V3,L1RC34,concentration_sell,,,,32,3554.3111999999996,0.8887999999999999,2024-03-25,,
2024-03-22,V3,NVDC34,concentration_sell,,,,272,2664.9336000000003,0.6664000000000001,2024-03-25,,
2024-03-26,V3,OIBR4,concentration_sell,,,,22,428.89275,0.10725,2024-03-28,,
2024-03-27,V3,JFEN3,concentration_sell,,,,776,41738.362799999995,10.437199999999999,2024-04-01,,
2024-04-01,V3,AMER3,rebalance_sell,,,1.0,1330,81109.7175,20.282500000000002,2024-04-03,,
2024-04-01,V3,BSDV39,rebalance_sell,,,1.0,1,54.9762525,0.013747500000000001,2024-04-03,,
2024-04-01,V3,FASL34,rebalance_sell,,,1.0,174,67669.0785,16.9215,2024-04-02,,
2024-04-01,V3,GEOO34,rebalance_sell,,,1.0,28,28804.51707,7.20293,2024-04-02,,
2024-04-01,V3,JFEN3,rebalance_sell,,,1.0,1552,65167.704,16.296000000000003,2024-04-03,,
2024-04-01,V3,L1RC34,rebalance_sell,,,1.0,622,70318.17606,17.58394,2024-04-02,,
2024-04-01,V3,NVDC34,rebalance_sell,,,1.0,6918,65704.56975,16.43025,2024-04-02,,
2024-04-01,V3,OIBR3,rebalance_sell,,,1.0,8593,56699.621549999996,14.17845,2024-04-03,,
2024-04-01,V3,OIBR4,rebalance_sell,,,1.0,3537,65418.141375,16.358625,2024-04-03,,
2024-04-01,V3,SYNE3,rebalance_sell,,,1.0,1,4.33391625,0.00108375,2024-04-03,,
2024-04-02,V3,L1RC34,rebalance_sell,,,1.0,1,110.29241999999999,0.02758,2024-04-03,,
2024-04-02,V3,OIBR3,rebalance_sell,,,1.0,2,12.99675,0.0032500000000000003,2024-04-04,,
2024-07-29,V3,AMBP3,offensive_sell,,3.2762724306437208,0.25,5136,17188.46181,4.298190000000001,2024-07-31,1.0,1.0
2024-07-29,V3,MNDL3,concentration_sell,,,,42,671.412105,0.16789500000000002,2024-07-31,,
2024-07-30,V3,AMBP3,defensive_sell,5.0,-1.817268611054997,0.5,7705,26960.758125,6.741875,2024-08-01,,
2024-07-30,V3,AAPL34,concentration_sell,,,,1,61.46463,0.01537,2024-07-31,,
2024-07-30,V3,F2IC34,concentration_sell,,,,11,2211.6569475,0.5530525000000001,2024-07-31,,
2024-07-30,V3,I1RM34,concentration_sell,,,,3,1702.074375,0.42562500000000003,2024-07-31,,
2024-07-30,V3,VRTX34,concentration_sell,,,,1,707.9929575,0.1770425,2024-07-31,,
2024-07-31,V3,N1TA34,defensive_sell,6.0,-3.54065343327214,1.0,104,74610.70266,18.65734,2024-08-01,,
2024-07-31,V3,INBR32,rebalance_sell,,,1.0,683,25148.601277499998,6.2887224999999995,2024-08-02,,
2024-07-31,V3,AAPL34,concentration_sell,,,,16,1006.1483999999999,0.2516,2024-08-01,,
2024-07-31,V3,I1RM34,concentration_sell,,,,3,1754.021385,0.43861500000000003,2024-08-01,,
2024-08-01,V3,H1UM34,defensive_sell,6.0,-4.6745166675271514,1.0,1510,69201.0954,17.304600000000004,2024-08-02,,
2024-08-01,V3,AMBP3,offensive_sell,,2.488964749507235,0.25,1926,8327.8675125,2.0824875,2024-08-05,1.0,0.0
2024-08-01,V3,CHCM34,offensive_sell,,0.12521792204074372,0.25,144,5195.660760000001,1.2992400000000002,2024-08-02,0.0,1.0
2024-08-01,V3,INBR32,rebalance_sell,,,1.0,1,36.690825000000004,0.009175,2024-08-05,,
2024-08-01,V3,I1RM34,concentration_sell,,,,8,5006.748,1.252,2024-08-02,,
2024-08-02,V3,N1TA34,defensive_sell,6.0,-2.2851908924768307,1.0,1,677.4405975,0.1694025,2024-08-05,,
2024-08-02,V3,I1RM34,offensive_sell,,3.455242817622216,0.25,30,18295.425,4.575,2024-08-05,1.0,1.0
2024-08-02,V3,AAPL34,rebalance_sell,,,1.0,1203,75180.7301175,18.7998825,2024-08-05,,
2024-08-02,V3,AMBP3,rebalance_sell,,,1.0,5778,32204.2969125,8.0530875,2024-08-06,,
2024-08-02,V3,AURA33,rebalance_sell,,,1.0,2086,39624.0915,9.9085,2024-08-06,,
2024-08-02,V3,CHCM34,rebalance_sell,,,1.0,2104,75178.16076,18.79924,2024-08-05,,
2024-08-02,V3,F2IC34,rebalance_sell,,,1.0,375,74940.0103125,18.739687500000002,2024-08-05,,
2024-08-02,V3,I1RM34,rebalance_sell,,,1.0,92,56105.97,14.030000000000001,2024-08-05,,
2024-08-02,V3,MNDL3,rebalance_sell,,,1.0,5015,72398.49585,18.10415,2024-08-06,,
2024-08-02,V3,VRTX34,rebalance_sell,,,1.0,105,74407.49347500001,18.606525,2024-08-05,,
