date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2022-02-03,228476.4539916597,228476.4539916597,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-04,228568.22841369908,228568.22841369908,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-07,228660.0396996883,228660.0396996883,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-08,228751.88786443486,228751.88786443486,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-09,228843.77292275222,228843.77292275222,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-10,228935.69488945982,228935.69488945982,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-11,229027.653779383,229027.653779383,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-14,229119.6496073531,229119.6496073531,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-15,229211.68238820735,229211.68238820735,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-16,229303.75213678903,229303.75213678903,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-17,229395.85886794733,229395.85886794733,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-18,229488.0025965374,229488.0025965374,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-21,229580.18333742037,229580.18333742037,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-22,229672.40110546333,229672.40110546333,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-23,229764.65591553936,229764.65591553936,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-24,229856.9477825275,229856.9477825275,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-25,229949.27672131278,229949.27672131278,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-02,230041.64274678618,230041.64274678618,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-03,230134.0458738447,230134.0458738447,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-04,230226.4861173913,230226.4861173913,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-07,230318.9634923349,230318.9634923349,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-08,230411.4780135905,230411.4780135905,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-09,230504.029696079,230504.029696079,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-10,230596.61855472732,230596.61855472732,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-11,230689.24460446837,230689.24460446837,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-14,230781.9078602411,230781.9078602411,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-15,230874.6083369904,230874.6083369904,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-16,230967.3460496672,230967.3460496672,0.0,1,0,0.0,0,0.00040168,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-17,231068.36885715587,231068.36885715587,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-18,231169.43585101032,231169.43585101032,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-21,231270.54705055722,231270.54705055722,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-22,231371.7024751317,231371.7024751317,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-23,231472.90214407732,231472.90214407732,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-24,231574.14607674614,231574.14607674614,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-25,231675.43429249866,231675.43429249866,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-28,231776.76681070388,231776.76681070388,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-29,231878.14365073922,231878.14365073922,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-30,231979.56483199063,231979.56483199063,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-03-31,232081.03037385253,232081.03037385253,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-01,232182.54029572775,232182.54029572775,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-04,232284.09461702773,232284.09461702773,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-05,232385.6933571723,232385.6933571723,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-06,232487.33653558983,232487.33653558983,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
