date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,out_of_target_band,n_rebalance_sells_cum,n_concentration_trims_cum
2024-09-27,490162.7396848826,0.0559784325982621,22149.63540645,0,10,0.1500420249145841,0,0.00040168,C01,15,1,37,23,97,1,149,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1549,0,0,1258,957
2024-09-30,493037.0851810343,25.372109109319865,168141.26647192502,0,10,0.1510222582397829,0,0.00040168,C01,15,1,37,23,98,1,150,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1550,0,0,1260,958
2024-10-01,491287.6710854231,1.0463741481369402,76725.568711275,0,9,0.1500050466098224,0,0.00040168,C01,15,1,37,23,98,0,150,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1551,0,0,1262,958
2024-10-02,499981.669730878,484.7606008781005,3082.70913,0,10,0.1526965779387352,0,0.00040168,C01,15,1,37,23,98,0,150,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1552,0,0,1262,959
2024-10-03,501676.20625828527,1.3236798603409656,69664.26587842501,0,10,0.1510781636731217,0,0.00040168,C01,15,1,38,23,98,1,151,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1553,0,0,1264,960
2024-10-04,495825.52627847774,0.34529505277368,87726.52918342501,0,9,0.1507788446495016,0,0.00040168,C01,15,1,38,23,99,1,152,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1554,0,0,1266,961
2024-10-07,485656.4047437072,1.5405374573924062,1741.1396062499998,0,10,0.1517369055163373,0,0.00040168,C01,15,1,38,23,100,2,153,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1555,0,0,1267,964
2024-10-08,487143.7700139871,0.5600727370794852,151632.31744124996,0,9,0.1512736168172367,0,0.00040168,C01,15,1,38,23,100,1,153,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1556,0,0,1272,964
2024-10-09,488324.0673553443,77596.00540009422,406153.8151552501,1,4,0.0069287594574729,0,0.00040168,C01,15,1,39,23,100,2,154,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1557,0,0,1281,964
2024-10-10,488415.3478862765,335584.62932022644,152830.71856605005,1,0,0.0,0,0.00040168,C01,15,0,39,24,100,2,154,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1558,0,0,1285,964
2024-10-11,488611.4727132136,488457.4944174136,153.9782958,1,0,0.0,0,0.00040168,C01,15,0,39,24,100,2,154,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1559,0,0,1285,964
2024-10-14,488807.738169573,488807.738169573,0.0,1,0,0.0,0,0.00040168,C01,15,1,39,24,100,2,154,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1560,0,0,1285,964
2024-10-15,489004.08246184094,489004.08246184094,0.0,1,0,0.0,0,0.00040168,C01,15,1,39,24,100,2,154,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1561,0,0,1285,964
2024-10-16,488881.8622309805,0.3602309804209029,0.0,0,9,0.1500301108846332,0,0.00040168,C01,15,1,39,24,100,2,154,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1562,0,0,1285,964
2024-10-17,486193.2937401781,0.3603756780011183,74351.94936450002,0,7,0.1508547134325455,1,0.00040168,C01,15,1,40,24,100,0,154,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1563,0,1,1287,966
2024-10-18,490448.2455258008,0.0015508006766177,77544.70897500002,0,8,0.1501296021990286,1,0.00040168,C01,15,1,40,24,100,0,154,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1564,0,1,1287,968
2024-10-21,491185.1588730295,0.1985680294904979,4825.573305,0,8,0.1500064663375678,1,0.00040168,C01,15,1,40,24,100,0,154,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1565,0,1,1287,969
2024-10-22,471057.9882442508,0.8498267508379048,7584.4334175,0,8,0.1554458300833065,1,0.00040168,C01,15,1,40,24,100,0,154,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1566,0,1,1287,970
2024-10-23,467301.1519520087,3669.4061620086873,463500.93579,1,2,0.0001728863703042,0,0.00040168,C01,15,1,40,24,101,1,155,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1567,0,0,1295,970
2024-10-24,467353.3087925597,130503.23237005972,336850.0764225,1,0,0.0,0,0.00040168,C01,15,1,40,24,101,1,155,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1568,0,0,1297,970
2024-10-25,467541.01591349975,467492.82796349976,48.18795,1,0,0.0,0,0.00040168,C01,15,1,40,24,101,1,155,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1569,0,0,1297,970
2024-10-28,467728.8177887719,467728.8177887719,0.0,1,0,0.0,0,0.00040168,C01,15,1,40,24,101,1,155,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1570,0,0,1297,970
2024-10-29,467916.6951003013,467916.6951003013,0.0,1,0,0.0,0,0.00040168,C01,15,1,40,24,101,1,155,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1571,0,0,1297,970
2024-10-30,468104.6478783891,468104.6478783891,0.0,1,0,0.0,0,0.00040168,C01,15,1,40,24,101,1,155,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1572,0,0,1297,970
2024-10-31,468292.6761533489,468292.6761533489,0.0,1,0,0.0,0,0.00040168,C01,15,1,40,24,101,1,155,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1573,0,0,1297,970
2024-11-01,468480.77995550615,468480.77995550615,0.0,1,0,0.0,0,0.00040168,C01,15,1,40,24,101,1,155,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1574,0,0,1297,970
2024-11-04,468668.95931519865,468668.95931519865,0.0,1,0,0.0,0,0.00040168,C01,15,1,40,24,101,1,155,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1575,0,0,1297,970
2024-11-05,468857.2142627764,468857.2142627764,0.0,1,0,0.0,0,0.00040168,C01,15,1,40,24,101,1,155,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1576,0,0,1297,970
2024-11-06,469045.5448286014,469045.5448286014,0.0,1,0,0.0,0,0.00040168,C01,15,1,40,24,101,1,155,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1577,0,0,1297,970
2024-11-07,468928.3139777607,1.8339777607317271,0.0,0,10,0.1500162133595035,0,0.00041957,C01,15,1,40,24,101,1,155,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1578,0,0,1297,970
2024-11-08,485203.9709897429,1.8347472427807971,94351.43624250004,0,7,0.1500206188575047,1,0.00041957,C01,15,1,41,26,102,4,159,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1579,0,1,1299,972
2024-11-11,496871.9751941902,0.8451416901912621,54706.11005249999,0,8,0.1501528235132234,1,0.00041957,C01,15,1,41,26,102,0,159,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1580,0,1,1300,973
2024-11-12,484345.70426009066,3.565860090627056,0.0,0,9,0.1617043143174905,0,0.00041957,C01,15,1,41,26,102,0,159,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1581,0,0,1300,973
2024-11-13,496291.21068121854,3.5673562185452803,85079.02492499999,0,9,0.1545234699899999,0,0.00041957,C01,15,1,41,26,103,1,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1582,0,0,1300,975
2024-11-14,495506.7464581013,4.770770601277037,86132.5114875,0,8,0.1505059225390506,1,0.00041957,C01,15,1,41,26,103,1,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1583,0,1,1301,977
2024-11-18,489378.4098655952,2.3098655951101934,0.0,0,9,0.1548249748508709,0,0.00041957,C01,15,1,41,26,103,1,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1584,0,0,1301,977
2024-11-19,511202.9646652566,0.1523902566748111,1092.226875,0,10,0.1500480343462553,0,0.00041957,C01,15,1,41,26,103,1,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1585,0,0,1301,978
2024-11-21,514226.6015149449,0.1524541950548042,2657.49246075,0,9,0.1516206275021616,0,0.00041957,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1586,0,0,1302,979
2024-11-22,511850.356133348,1.367217597959879,3085.16551575,0,9,0.1526750915840743,0,0.00041957,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1587,0,0,1302,981
2024-11-25,510364.0407792034,168.84087420343877,3932.996505,0,10,0.1502247687414347,0,0.00041957,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1588,0,0,1302,983
2024-11-26,512579.4444699432,2842.1141949431462,1272.181875,0,10,0.1501937910904937,0,0.00041957,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1589,0,0,1302,984
2024-11-27,518140.78849297744,3256.246920477576,1459.7449725,0,10,0.150075272448955,0,0.00041957,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1590,0,0,1302,986
2024-11-28,513767.3379944838,1115.249544483896,2971.85685,0,10,0.1502384334148325,0,0.00041957,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1591,0,0,1302,988
2024-11-29,519985.9575129385,0.8064129386722577,877.7805,0,10,0.1528639357496921,0,0.00041957,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1592,0,0,1303,989
2024-12-02,537062.5395459266,3.750620926715757,1593.901425,0,9,0.1549485094796557,0,0.00041957,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1593,0,0,1304,990
2024-12-03,532010.5065529785,0.6586329784582331,798.52032,0,9,0.1593868522435955,0,0.00041957,C01,15,0,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1594,0,0,1304,991
2024-12-04,534787.373414744,4.866164743924395,2725.11855,0,9,0.155738007552786,0,0.00041957,C01,15,0,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1595,0,0,1304,993
2024-12-05,542066.2776768056,2731.1301344306894,536970.354342375,1,7,0.0014907402162393,0,0.00041957,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1596,0,0,1313,993
2024-12-06,542223.5222258284,407427.4261215783,134783.87860425003,1,1,2.2532220568091813e-05,0,0.00041957,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1597,0,0,1320,993
2024-12-09,542450.4017391563,542290.0926264563,160.3091127,1,0,0.0,0,0.00041957,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1598,0,0,1321,993
2024-12-10,542677.9927604405,542666.3289771155,11.663783325,1,0,0.0,0,0.00041957,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1599,0,0,1321,993
2024-12-11,542905.684165863,542905.684165863,0.0,1,0,0.0,0,0.00041957,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1600,0,0,1321,993
2024-12-12,543152.7768298973,543152.7768298973,0.0,1,0,0.0,0,0.00045513,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1601,0,0,1321,993
2024-12-13,543399.9819532159,543399.9819532159,0.0,1,0,0.0,0,0.00045513,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1602,0,0,1321,993
2024-12-16,543264.1665421636,0.8945421636301818,0.0,0,8,0.1499906951688775,1,0.00045513,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1603,0,1,1321,993
2024-12-17,534381.8980592967,0.8949492966051148,67.54311,0,7,0.1554753263569209,1,0.00045513,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1604,0,1,1322,993
2024-12-18,521500.4505985804,6.689668580376364,1139.99493,0,8,0.1523594081439443,1,0.00045513,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1605,0,1,1322,994
2024-12-19,522658.3484266418,1147.2064891417283,520981.97193750006,1,3,0.0005598494712288,0,0.00045513,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1606,0,0,1330,994
2024-12-20,522867.3680652517,443160.35980025167,79707.00826500001,1,0,0.0,0,0.00045513,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1607,0,0,1333,994
2024-12-23,523105.3286461999,523078.8652636999,26.4633825,1,0,0.0,0,0.00045513,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1608,0,0,1333,994
2024-12-26,523343.40957442665,523343.40957442665,0.0,1,0,0.0,0,0.00045513,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1609,0,0,1333,994
2024-12-27,523581.5988604262,523581.5988604262,0.0,1,0,0.0,0,0.00045513,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1610,0,0,1333,994
2024-12-30,523819.8965535156,523819.8965535156,0.0,1,0,0.0,0,0.00045513,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1611,0,0,1333,994
2025-01-02,524058.302703034,524058.302703034,0.0,1,0,0.0,0,0.00045513,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1612,0,0,1333,994
2025-01-03,524296.8173583432,524296.8173583432,0.0,1,0,0.0,0,0.00045513,C01,15,1,41,26,103,0,160,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1613,0,0,1333,994
