date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,buffer_k,is_rebalance_day
2019-08-14,C01,CTKA4,concentration_trim,,,,34,730.13742,0.18258,2019-08-16,15.0,1
2019-08-15,C01,CTKA4,defensive_sell,5.0,-1.3818228108764112,0.5,502,10338.6147,2.5853,2019-08-19,15.0,1
2019-08-15,C01,LOGN3,concentration_trim,,,,62,1152.9117,0.2883,2019-08-19,15.0,1
2019-08-16,C01,MNPR3,rebalance_sell,,,1.0,4,2.483379,0.000621,2019-08-20,15.0,1
2019-08-16,C01,LOGN3,concentration_trim,,,,14,267.33315000000005,0.06685,2019-08-20,15.0,1
2019-08-19,C01,E2NP34,concentration_trim,,,,261,1403.9871858324,0.3510845676,2019-08-20,15.0,1
2019-08-20,C01,E2NP34,concentration_trim,,,,87,476.5012968870002,0.119155113,2019-08-21,15.0,1
2019-08-20,C01,BHIA3,rebalance_sell,,,1.0,1,141.16469999999998,0.0353,2019-08-22,15.0,1
2019-08-21,C01,MNPR3,rebalance_sell,,,1.0,1,0.5588602500000001,0.00013975,2019-08-23,15.0,1
2019-08-21,C01,E2NP34,concentration_trim,,,,15,84.10177849770001,0.0210307023,2019-08-22,15.0,1
2019-08-22,C01,D1EX34,rebalance_sell,,,1.0,1,3.5252286124650007,0.000881527535,2019-08-23,15.0,1
2019-08-23,C01,T2TD34,rebalance_sell,,,1.0,1,1.00643952020175,0.00025167279825,2019-08-26,15.0,1
2019-08-23,C01,TRIS3,concentration_trim,,,,63,477.225363825,0.119336175,2019-08-27,15.0,1
2019-08-26,C01,TRIS3,concentration_trim,,,,4,29.9925,0.0075,2019-08-28,15.0,1
2019-08-27,C01,EVEN3,defensive_sell,4.0,-2.577296274340965,0.25,499,5108.48256,1.27744,2019-08-29,15.0,1
2019-08-27,C01,TRIS3,concentration_trim,,,,25,190.33740375,0.04759625,2019-08-29,15.0,1
2019-08-28,C01,TRIS3,concentration_trim,,,,105,829.292625,0.207375,2019-08-30,15.0,1
2019-08-28,C01,LOGN3,concentration_trim,,,,45,884.0289374999999,0.2210624999999999,2019-08-30,15.0,1
2019-08-28,C01,C1GP34,rebalance_sell,,,1.0,1,2.5445199889305,0.0006362890695,2019-08-29,15.0,1
2019-08-29,C01,LOGN3,concentration_trim,,,,8,160.59984,0.0401599999999999,2019-09-02,15.0,1
2019-08-29,C01,TRIS3,concentration_trim,,,,34,275.8546191,0.0689809,2019-09-02,15.0,1
2019-08-30,C01,LOGN3,concentration_trim,,,,8,163.1592,0.0407999999999999,2019-09-03,15.0,1
2019-08-30,C01,TRIS3,concentration_trim,,,,148,1280.4422094,0.3201906,2019-09-03,15.0,1
2019-09-03,C01,CTKA4,concentration_trim,,,,92,1913.1216,0.4784,2019-09-05,15.0,1
2019-09-04,C01,LOGN3,concentration_trim,,,,1,19.895025,0.0049749999999999,2019-09-06,15.0,1
2019-09-05,C01,C1GP34,rebalance_sell,,,1.0,1,2.50480666274475,0.00062635825525,2019-09-06,15.0,1
2019-09-05,C01,LOGN3,concentration_trim,,,,13,259.675065,0.064935,2019-09-09,15.0,1
2019-09-06,C01,TRIS3,concentration_trim,,,,48,407.5284924,0.1019076,2019-09-10,15.0,1
2019-09-06,C01,LOGN3,concentration_trim,,,,2,39.47013,0.0098699999999999,2019-09-10,15.0,1
2019-09-06,C01,CTKA4,concentration_trim,,,,14,284.12895,0.07105,2019-09-10,15.0,1
2019-09-06,C01,E2NP34,rebalance_sell,,,1.0,4292,17721.700147080002,4.43153292,2019-09-09,15.0,1
2019-09-09,C01,E2NP34,rebalance_sell,,,1.0,10,38.799529692,0.009702308,2019-09-10,15.0,1
2019-09-09,C01,CTKA4,concentration_trim,,,,27,552.82176,0.13824,2019-09-11,15.0,1
2019-09-09,C01,LOGN3,concentration_trim,,,,5,97.475625,0.024375,2019-09-11,15.0,1
2019-09-10,C01,E2NP34,rebalance_sell,,,1.0,1,3.82701996576,0.00095699424,2019-09-11,15.0,1
2019-09-10,C01,EVEN3,rebalance_sell,,,1.0,1500,15431.14125,3.85875,2019-09-12,15.0,1
2019-09-11,C01,EVEN3,rebalance_sell,,,1.0,1,10.777305,0.002695,2019-09-13,15.0,1
2019-09-12,C01,MNPR3,rebalance_sell,,,1.0,3,1.8895275,0.0004725,2019-09-16,15.0,1
2019-09-13,C01,LOGN3,concentration_trim,,,,4,77.22068999999999,0.01931,2019-09-17,15.0,1
2019-09-16,C01,PPLA11,concentration_trim,,,,12,766.6083,0.1916999999999999,2019-09-18,15.0,1
2019-09-17,C01,CEBR6,rebalance_sell,,,1.0,2,19.575105,0.004895,2019-09-19,15.0,1
2019-09-17,C01,CTKA4,concentration_trim,,,,39,822.6942750000001,0.205725,2019-09-19,15.0,1
2019-09-19,C01,PPLA11,concentration_trim,,,,1,65.50362,0.01638,2019-09-23,15.0,1
2019-09-20,C01,JHSF3,rebalance_sell,,,1.0,4110,16600.248900000006,4.1511000000000005,2019-09-24,15.0,1
2019-09-20,C01,POSI3,rebalance_sell,,,1.0,1,3.67908,0.00092,2019-09-24,15.0,1
2019-09-20,C01,CTKA4,concentration_trim,,,,1,20.294925,0.005075,2019-09-24,15.0,1
2019-09-20,C01,PPLA11,concentration_trim,,,,7,463.56407999999993,0.11592,2019-09-24,15.0,1
2019-09-23,C01,PPLA11,concentration_trim,,,,2,133.1667,0.0332999999999999,2019-09-25,15.0,1
2019-09-23,C01,CTKA4,concentration_trim,,,,9,183.91401,0.04599,2019-09-25,15.0,1
2019-09-23,C01,LOGN3,concentration_trim,,,,10,193.5516,0.0484,2019-09-25,15.0,1
2019-09-23,C01,JHSF3,rebalance_sell,,,1.0,1,4.0089975,0.0010025,2019-09-25,15.0,1
2019-09-23,C01,MNPR3,rebalance_sell,,,1.0,2,1.295676,0.000324,2019-09-25,15.0,1
2019-09-24,C01,CTKA4,concentration_trim,,,,12,247.1382,0.0618,2019-09-26,15.0,1
2019-09-25,C01,MNPR3,rebalance_sell,,,1.0,2,1.3096725,0.0003275,2019-09-27,15.0,1
2019-09-25,C01,CTKA4,concentration_trim,,,,101,2380.984605,0.595395,2019-09-27,15.0,1
2019-09-26,C01,MNPR3,rebalance_sell,,,1.0,1,0.63984,0.00016,2019-09-30,15.0,1
2019-09-26,C01,CTKA4,concentration_trim,,,,4,95.81604,0.02396,2019-09-30,15.0,1
2019-09-27,C01,MNPR3,rebalance_sell,,,1.0,1,0.63984,0.00016,2019-10-01,15.0,1
2019-09-27,C01,W1DC34,rebalance_sell,,,1.0,68,12926.50854163578,3.23243524422,2019-09-30,15.0,1
2019-09-30,C01,PPLA11,concentration_trim,,,,9,610.587315,0.152685,2019-10-02,15.0,1
2019-09-30,C01,LOGN3,concentration_trim,,,,29,582.7542750000001,0.145725,2019-10-02,15.0,1
2019-09-30,C01,L1RC34,defensive_sell,6.0,-3.042475412589038,1.0,5,10.934021311125,0.0027341888749999,2019-10-01,15.0,1
2019-09-30,C01,CTKA4,rebalance_sell,,,1.0,945,20595.84975,5.15025,2019-10-02,15.0,1
2019-09-30,C01,W1DC34,rebalance_sell,,,1.0,1,187.68172119666,0.04693216334,2019-10-01,15.0,1
2019-10-01,C01,CTKA4,rebalance_sell,,,1.0,6,149.9625,0.0375,2019-10-03,15.0,1
2019-10-01,C01,LUXM4,rebalance_sell,,,1.0,1,2.299425,0.000575,2019-10-03,15.0,1
2019-10-01,C01,HBOR3,concentration_trim,,,,137,1999.69995,0.50005,2019-10-03,15.0,1
2019-10-01,C01,PPLA11,concentration_trim,,,,7,491.27715,0.12285,2019-10-03,15.0,1
2019-10-02,C01,PPLA11,concentration_trim,,,,10,718.02045,0.17955,2019-10-04,15.0,1
2019-10-03,C01,LPSB3,rebalance_sell,,,1.0,556,4346.83302,1.08698,2019-10-07,15.0,1
2019-10-04,C01,TRIS3,rebalance_sell,,,1.0,2914,21714.943106700004,5.430093300000001,2019-10-08,15.0,1
2019-10-04,C01,PPLA11,concentration_trim,,,,51,4588.8525,1.1475,2019-10-08,15.0,1
2019-10-04,C01,CTKA4,rebalance_sell,,,1.0,84,2099.475,0.525,2019-10-08,15.0,1
